# list of object assets to load in this scene
[ASSETS]
mario.txt
introscene.txt

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

100	150	88

101	46	20
101	62	20
101	78	20
101	238	20
101	254	20

101	46	36
101	62	36
101	78	36
101	110	36
101	126	36
101	142	36
101	174	36
101	190	36
101	206	36
101	238	36
101	254	36

101	110	52
101	126	52
101	142	52
101	238	52
101	254	52

101	46	68
101	62	68
101	78	68
101	110	68
101	126	68
101	142	68
101	174	68
101	190	68
101	206	68
101	222	68
101	238	68
101	254	68


101	46	84
101	62	84
101	78	84
101	174	84
101	190	84
101	254	84

101	46	100
101	126	100
101	142	100
101	158	100
101	254	100

101	254	116

101	254	132

101	254	148

102	238	100

# MARIO
0	62	52
[PATHOVERWORLD]
0	62	52	0	0	1	0	0
1	94	52	1	0	0	-1	0
2	94	20	0	-1	0	0	1
